date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:06	93151/93151	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2022:19:20%20GMT	https://reactheme.com/products/html/bizup/	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/index.html	(from )
15:31:07	90/90	---MCZ	200	added ('OK')	text/plain	date:Thu,%2004%20Aug%202022%2010:00:46%20GMT	https://reactheme.com/robots.txt		(from )
15:31:08	112767/112767	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Aug%202022%2010:00:47%20GMT	https://reactheme.com/products/html/bizup/apple-touch-icon.png	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/apple-touch-icon.png	(from https://reactheme.com/products/html/bizup/)
15:31:08	1172/1172	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Nov%202021%2022:55:56%20GMT	https://reactheme.com/products/html/bizup/assets/images/fav.png	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/images/fav.png	(from https://reactheme.com/products/html/bizup/)
15:31:09	31004/31004	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2022:55:56%20GMT	https://reactheme.com/products/html/bizup/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/css/font-awesome.min.css	(from https://reactheme.com/products/html/bizup/)
15:31:09	155845/155845	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2022:55:56%20GMT	https://reactheme.com/products/html/bizup/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/css/bootstrap.min.css	(from https://reactheme.com/products/html/bizup/)
15:31:10	3319/3319	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2022:55:56%20GMT	https://reactheme.com/products/html/bizup/assets/fonts/flaticon.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/fonts/flaticon.css	(from https://reactheme.com/products/html/bizup/)
15:31:11	4028/4028	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2022:55:56%20GMT	https://reactheme.com/products/html/bizup/assets/css/owl.carousel.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/css/owl.carousel.css	(from https://reactheme.com/products/html/bizup/)
15:31:11	74602/74602	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2022:55:56%20GMT	https://reactheme.com/products/html/bizup/assets/css/animate.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/css/animate.css	(from https://reactheme.com/products/html/bizup/)
15:31:11	5725/5725	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2022:55:56%20GMT	https://reactheme.com/products/html/bizup/assets/css/off-canvas.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/css/off-canvas.css	(from https://reactheme.com/products/html/bizup/)
15:31:12	7306/7306	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2022:55:56%20GMT	https://reactheme.com/products/html/bizup/assets/css/magnific-popup.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/css/magnific-popup.css	(from https://reactheme.com/products/html/bizup/)
15:31:12	16568/16568	---M--	200	added ('OK')	text/css	date:Thu,%2019%20May%202022%2004:32:01%20GMT	https://reactheme.com/products/html/bizup/assets/css/rsmenu-main.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/css/rsmenu-main.css	(from https://reactheme.com/products/html/bizup/)
15:31:15	32789/32789	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Dec%202021%2006:21:28%20GMT	https://reactheme.com/products/html/bizup/assets/css/responsive.css	C:/My%20Web%20Sites/theme/reactheme.com/products/html/bizup/assets/css/responsive.css	(from https://reactheme.com/products/html/bizup/)
